country,year,sex,age,suicides_no,population,suicides/100k_pop,country-year,_gdp_for_year__$_,gdp_for_capita_$,generation
Albania,1987,male,15-24 years,21,312900,6.71,Albania1987,2156624900,796,Generation X
Albania,1987,male,35-54 years,16,308000,5.19,Albania1987,2156624900,796,Silent
Albania,1987,female,15-24 years,14,289700,4.83,Albania1987,2156624900,796,Generation X
Albania,1987,male,75+ years,1,21800,4.59,Albania1987,2156624900,796,G.I. Generation
Albania,1987,male,25-34 years,9,274300,3.28,Albania1987,2156624900,796,Boomers
Albania,1987,female,75+ years,1,35600,2.81,Albania1987,2156624900,796,G.I. Generation
Albania,1987,female,35-54 years,6,278800,2.15,Albania1987,2156624900,796,Silent
Albania,1987,female,25-34 years,4,257200,1.56,Albania1987,2156624900,796,Boomers
Albania,1987,male,55-74 years,1,137500,0.73,Albania1987,2156624900,796,G.I. Generation
Albania,1987,female,5-14 years,0,311000,0.0,Albania1987,2156624900,796,Generation X
Albania,1987,female,55-74 years,0,144600,0.0,Albania1987,2156624900,796,G.I. Generation
Albania,1987,male,5-14 years,0,338200,0.0,Albania1987,2156624900,796,Generation X
Albania,1988,female,75+ years,2,36400,5.49,Albania1988,2126000000,769,G.I. Generation
Albania,1988,male,15-24 years,17,319200,5.33,Albania1988,2126000000,769,Generation X
Albania,1988,male,75+ years,1,22300,4.48,Albania1988,2126000000,769,G.I. Generation
Albania,1988,male,35-54 years,14,314100,4.46,Albania1988,2126000000,769,Silent
Albania,1988,male,55-74 years,4,140200,2.85,Albania1988,2126000000,769,G.I. Generation
Albania,1988,female,15-24 years,8,295600,2.71,Albania1988,2126000000,769,Generation X
Albania,1988,female,55-74 years,3,147500,2.03,Albania1988,2126000000,769,G.I. Generation
Albania,1988,female,25-34 years,5,262400,1.91,Albania1988,2126000000,769,Boomers
Albania,1988,male,25-34 years,5,279900,1.79,Albania1988,2126000000,769,Boomers
Albania,1988,female,35-54 years,4,284500,1.41,Albania1988,2126000000,769,Silent
Albania,1988,female,5-14 years,0,317200,0.0,Albania1988,2126000000,769,Generation X
Albania,1988,male,5-14 years,0,345000,0.0,Albania1988,2126000000,769,Generation X
Albania,1989,male,75+ years,2,22500,8.89,Albania1989,2335124988,833,G.I. Generation
Albania,1989,male,25-34 years,18,283600,6.35,Albania1989,2335124988,833,Boomers
Albania,1989,male,35-54 years,15,318400,4.71,Albania1989,2335124988,833,Silent
Albania,1989,male,55-74 years,6,142100,4.22,Albania1989,2335124988,833,G.I. Generation
Albania,1989,male,15-24 years,12,323500,3.71,Albania1989,2335124988,833,Generation X
Albania,1989,female,35-54 years,7,288600,2.43,Albania1989,2335124988,833,Silent
Albania,1989,female,15-24 years,5,299900,1.67,Albania1989,2335124988,833,Generation X
